City,Lat_Long,time_zone
Chicago,"41.8339037,-87.8720447",2
Charlotte,"35.2033533,-80.9799101",3
L.A. Clippers,"34.0206842,-118.5518138",0
Washington,"38.8937091,-77.0846152",3
San Antonio,"29.4816561,-98.6544859",2
Houston,"29.817402,-95.5413729",2
New York,"40.6976637,-74.1197619",3
Detroit,"42.3528165,-83.1692441",3
Atlanta,"33.7678358,-84.4906432",3
Sacramento,"38.5616539,-121.5129517",0
Toronto,"43.7183439,-79.4480971",3
Portland,"45.5428119,-122.7243662",0
Miami,"25.7824806,-80.2644777",3
Utah,"39.4964987,-112.6679561",1
Memphis,"35.1293063,-90.0408262",2
New Orleans,"30.0331265,-89.9526027",2
Dallas,"32.8208751,-96.8716238",2
Philadelphia,"40.0026084,-75.1880674",3
Milwaukee,"43.0579955,-88.0374692",2
Minnesota,"46.423735,-95.6034136",2
Brooklyn,"40.6976637,-74.1197619",3
Oklahoma City,"35.4828466,-97.6192786",2
Indiana,"39.7798954,-86.2027892",3
Denver,"39.7644499,-104.9251506",1
Cleveland,"41.4976393,-81.7758991",3
Boston,"42.3144556,-71.0403231",3
Phoenix,"33.6056219,-112.2651323",1
Orlando,"28.4813018,-81.4387893",3
L.A. Lakers,"34.0206842,-118.5518138",0
Golden State,"37.7577627,-122.4726193",0
